,name,date,headline,intro
3252,sueddeutsche,05/06/2021,Kunst;auf;Rad,Eine;Ausstellung;in;Marktoberdorf;spüren;der;Faszination;für;Auto;nach;Für;manch;sein;ich;einen;Fetisch;für;ander;Symbol;groß;Übel
3253,sueddeutsche,05/06/2021,nächtlich;Ausschreitung;in;Nürnberg,Auf;der;Kornmarkt;kommen;ich;in;der;Nacht;zu;Samstag;zu;Auseinandersetzung;zwischen;Feiernde;und;der;Polizei;mehrer;Beamte;werden;verletzen
3254,ntv,05/06/2021,Erfasst;der;Inzidenz;Geimpfte;mit;positiv;Test,-
3255,ntv,05/06/2021,zu;erwartend;Empfehlung;der;STIKO;sein;problematisch,-
3256,sueddeutsche,05/06/2021,Je;nähern;der;Abschied;umso;mildern;der;Licht,wenig;Monat;vor;der;Ende;sich;Amtszeit;bekommen;Kanzlerin;Merkel;erste;bilanzierend;Würdigung;zu;hören;der;freundlich;Wort;haben;manchmal;einen;skurrile;Note
3257,sueddeutsche,05/06/2021,Brandanschlag;auf;Ulmer;Synagoge,Dank;ein;Zeuge;können;einen;Feuer;an;der;Fassade;der;Haus;schnellen;löschen;werden;Baden;Württemberg;Ministerpräsident;Kretschmann;sprechen;von;Antisemitismus;der;Staatsschutz;ermitteln
3258,ntv,05/06/2021,TBV;Lemgo;holen;nach;19;Jahr;wieder;Pokal,Im;überschwänglich;Jubel;der;Lemgoer;über;der;Gewinn;der;DHB;Pokal;stechen;einer;nochmals;besonders;hervor;Trainer;Florian;Kehrmann;der;holen;der;Pokal;2002;als;Spieler;und;triumphieren;nun;als;Übungsleiter;Herausragend;auf;der;Feld;sein;vor;alle;der;Defensive
3259,Welt,07/06/2021,der;Schulmassaker;der;Taliban,während;internationale;Truppe;aus;Afghanistan;abziehen;terrorisieren;der;Taliban;zunehmen;der;Zivilbevölkerung;Für;Entsetzen;sorgen;besonders;gezielt;Massaker;in;Schule;mein;Reporterin;haben;mit;Angehörige;und;einer;Überlebenden;sprechen
3260,Welt,09/06/2021,Umweltministerin;Schulze;wollen;national;Wasserstrategie,-
3261,Zeit,06/06/2021,der;Sache;sein;laufen,Endlich;der;Theater;spielen;wieder;der;Schaubühne;Berlin;beginnen;der;Saison;etwas;traurig;mit;einer;Adaption;von;Virginie;Despentes;der;Leben;der;Vernon;Subutex;1
3262,sueddeutsche,05/06/2021,G;7;Staat;wollen;global;Mindeststeuer;von;15;Prozent,Kampfansage;an;der;Steueroasen;der;Finanzminister;der;sieben;groß;Industriestaaten;mögen;der;Steuersystem;weltweit;radikal;umbauen
3263,Welt,10/06/2021,Unverantwortlich;Hofreiter;attackieren;im;Bundestag;Union;und;SPD,In;einer;hitzig;Debatte;haben;der;Bundestag;am;Donnerstag;erstmals;über;der;Entwurf;für;einen;neu;Klimaschutzgesetz;beraten;Grüne;Fraktionschef;Hofreiter;kritisieren;der;groß;Koalition;deutlich;der;FDP;warnen;vor;harten;Einschnitt
3264,Zeit,06/06/2021,ich;halten;der;Lade;am;Laufen,der;Autorin;Filmemacherin;und;Journalistin;Julia;Friedrich;sprechen;über;mein;aktuell;Buch;Working;Class;und;der;hart;arbeitend;Mensch;der;ich;darin;porträtieren
3265,sueddeutsche,05/06/2021,Wer;der;meist;Rede;halten,Nur;drei;Abgeordnete;haben;in;dies;Legislaturperiode;mehr;als;100;Rede;halten;Spitzenreiter;sein;der;CSU;Politiker;Volker;Ullrich;der;Unterschied;zwischen;viel;und;Wenigrednern;sein;extrem
3266,Zeit,06/06/2021,Von;Aprikosenbäumen;und;Drehregalen,der;Autorin;Mithu;Sanyal;sprechen;mit;David;Hugendick;über;der;schön;vergessen;Buch;walisische;Landschaftbeschreibungen;und;der;Literaturabteilung;bei;Karstadt
3267,Zeit,06/06/2021,so;viel;Mensch;werden;bereits;impfen,Wann;geben;ich;genügen;Impfstoff;für;all;Wie;gut;schützen;der;Impfungen;bereits;der;Bevölkerung;ich;zeigen;tagesaktuell;der;Impffortschritt;in;Deutschland;und;der;Welt
